# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00013987
   -9.91991992    0.00014113
   -9.83983984    0.00014240
   -9.75975976    0.00014370
   -9.67967968    0.00014501
   -9.59959960    0.00014634
   -9.51951952    0.00014769
   -9.43943944    0.00014905
   -9.35935936    0.00015044
   -9.27927928    0.00015185
   -9.19919920    0.00015328
   -9.11911912    0.00015473
   -9.03903904    0.00015620
   -8.95895896    0.00015769
   -8.87887888    0.00015921
   -8.79879880    0.00016075
   -8.71871872    0.00016231
   -8.63863864    0.00016390
   -8.55855856    0.00016551
   -8.47847848    0.00016714
   -8.39839840    0.00016880
   -8.31831832    0.00017049
   -8.23823824    0.00017220
   -8.15815816    0.00017395
   -8.07807808    0.00017571
   -7.99799800    0.00017751
   -7.91791792    0.00017934
   -7.83783784    0.00018119
   -7.75775776    0.00018308
   -7.67767768    0.00018500
   -7.59759760    0.00018694
   -7.51751752    0.00018893
   -7.43743744    0.00019094
   -7.35735736    0.00019299
   -7.27727728    0.00019507
   -7.19719720    0.00019719
   -7.11711712    0.00019935
   -7.03703704    0.00020154
   -6.95695696    0.00020377
   -6.87687688    0.00020604
   -6.79679680    0.00020835
   -6.71671672    0.00021071
   -6.63663664    0.00021310
   -6.55655656    0.00021554
   -6.47647648    0.00021802
   -6.39639640    0.00022055
   -6.31631632    0.00022312
   -6.23623624    0.00022575
   -6.15615616    0.00022842
   -6.07607608    0.00023114
   -5.99599600    0.00023391
   -5.91591592    0.00023674
   -5.83583584    0.00023962
   -5.75575576    0.00024256
   -5.67567568    0.00024556
   -5.59559560    0.00024861
   -5.51551552    0.00025173
   -5.43543544    0.00025491
   -5.35535536    0.00025815
   -5.27527528    0.00026146
   -5.19519520    0.00026483
   -5.11511512    0.00026828
   -5.03503504    0.00027180
   -4.95495495    0.00027539
   -4.87487487    0.00027906
   -4.79479479    0.00028281
   -4.71471471    0.00028664
   -4.63463463    0.00029056
   -4.55455455    0.00029456
   -4.47447447    0.00029864
   -4.39439439    0.00030282
   -4.31431431    0.00030710
   -4.23423423    0.00031147
   -4.15415415    0.00031594
   -4.07407407    0.00032052
   -3.99399399    0.00032520
   -3.91391391    0.00033000
   -3.83383383    0.00033491
   -3.75375375    0.00033993
   -3.67367367    0.00034508
   -3.59359359    0.00035036
   -3.51351351    0.00035577
   -3.43343343    0.00036131
   -3.35335335    0.00036700
   -3.27327327    0.00037283
   -3.19319319    0.00037881
   -3.11311311    0.00038495
   -3.03303303    0.00039125
   -2.95295295    0.00039771
   -2.87287287    0.00040436
   -2.79279279    0.00041118
   -2.71271271    0.00041820
   -2.63263263    0.00042541
   -2.55255255    0.00043282
   -2.47247247    0.00044045
   -2.39239239    0.00044830
   -2.31231231    0.00045637
   -2.23223223    0.00046469
   -2.15215215    0.00047326
   -2.07207207    0.00048210
   -1.99199199    0.00049120
   -1.91191191    0.00050060
   -1.83183183    0.00051029
   -1.75175175    0.00052030
   -1.67167167    0.00053064
   -1.59159159    0.00054133
   -1.51151151    0.00055239
   -1.43143143    0.00056384
   -1.35135135    0.00057569
   -1.27127127    0.00058799
   -1.19119119    0.00060075
   -1.11111111    0.00061402
   -1.03103103    0.00062784
   -0.95095095    0.00064225
   -0.87087087    0.00065733
   -0.79079079    0.00067318
   -0.71071071    0.00068991
   -0.63063063    0.00070772
   -0.55055055    0.00072693
   -0.47047047    0.00074808
   -0.39039039    0.00077220
   -0.31031031    0.00080148
   -0.23023023    0.00084120
   -0.15015015    0.00090601
   -0.07007007    0.00101875
    0.01001001    0.00114299
    0.09009009    0.00116270
    0.17017017    0.00104490
    0.25025025    0.00099721
    0.33033033    0.00099267
    0.41041041    0.00100534
    0.49049049    0.00102608
    0.57057057    0.00105150
    0.65065065    0.00108021
    0.73073073    0.00111157
    0.81081081    0.00114533
    0.89089089    0.00118138
    0.97097097    0.00121976
    1.05105105    0.00126052
    1.13113113    0.00130380
    1.21121121    0.00134975
    1.29129129    0.00139855
    1.37137137    0.00145044
    1.45145145    0.00150567
    1.53153153    0.00156451
    1.61161161    0.00162730
    1.69169169    0.00169441
    1.77177177    0.00176624
    1.85185185    0.00184327
    1.93193193    0.00192604
    2.01201201    0.00201516
    2.09209209    0.00211132
    2.17217217    0.00221533
    2.25225225    0.00232811
    2.33233233    0.00245073
    2.41241241    0.00258444
    2.49249249    0.00273071
    2.57257257    0.00289124
    2.65265265    0.00306808
    2.73273273    0.00326366
    2.81281281    0.00348090
    2.89289289    0.00372336
    2.97297297    0.00399538
    3.05305305    0.00430232
    3.13313313    0.00465092
    3.21321321    0.00504970
    3.29329329    0.00550962
    3.37337337    0.00604504
    3.45345345    0.00667508
    3.53353353    0.00742592
    3.61361361    0.00833429
    3.69369369    0.00945358
    3.77377377    0.01086482
    3.85385385    0.01269793
    3.93393393    0.01517731
    4.01401401    0.01873149
    4.09409409    0.02429606
    4.17417417    0.03415444
    4.25425425    0.05172303
    4.33433433    0.07811045
    4.41441441    0.10124687
    4.49449449    0.11194575
    4.57457457    0.16736108
    4.65465465    0.24528712
    4.73473473    0.34777676
    4.81481481    0.37175541
    4.89489489    0.33033736
    4.97497497    0.27914530
    5.05505506    0.32076060
    5.13513514    0.31859605
    5.21521522    0.22582453
    5.29529530    0.16830179
    5.37537538    0.17681964
    5.45545546    0.23770218
    5.53553554    0.29134675
    5.61561562    0.29085810
    5.69569570    0.24661383
    5.77577578    0.18032190
    5.85585586    0.15491560
    5.93593594    0.18233412
    6.01601602    0.17944217
    6.09609610    0.16685861
    6.17617618    0.17517687
    6.25625626    0.16995493
    6.33633634    0.17651690
    6.41641642    0.15604863
    6.49649650    0.14680076
    6.57657658    0.12342785
    6.65665666    0.10264578
    6.73673674    0.09255512
    6.81681682    0.11239270
    6.89689690    0.13998254
    6.97697698    0.13504884
    7.05705706    0.11135126
    7.13713714    0.09670723
    7.21721722    0.11082564
    7.29729730    0.12622428
    7.37737738    0.09495659
    7.45745746    0.07959816
    7.53753754    0.10440966
    7.61761762    0.11468347
    7.69769770    0.09007563
    7.77777778    0.07631338
    7.85785786    0.07146159
    7.93793794    0.07564192
    8.01801802    0.07204762
    8.09809810    0.07099271
    8.17817818    0.08525412
    8.25825826    0.09006760
    8.33833834    0.07317370
    8.41841842    0.06399661
    8.49849850    0.07138739
    8.57857858    0.05430550
    8.65865866    0.03579807
    8.73873874    0.03354531
    8.81881882    0.04326143
    8.89889890    0.03838686
    8.97897898    0.02685394
    9.05905906    0.02552281
