# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00009596
   -9.91991992    0.00009663
   -9.83983984    0.00009730
   -9.75975976    0.00009798
   -9.67967968    0.00009867
   -9.59959960    0.00009936
   -9.51951952    0.00010006
   -9.43943944    0.00010077
   -9.35935936    0.00010149
   -9.27927928    0.00010221
   -9.19919920    0.00010294
   -9.11911912    0.00010368
   -9.03903904    0.00010443
   -8.95895896    0.00010519
   -8.87887888    0.00010595
   -8.79879880    0.00010672
   -8.71871872    0.00010751
   -8.63863864    0.00010830
   -8.55855856    0.00010909
   -8.47847848    0.00010990
   -8.39839840    0.00011072
   -8.31831832    0.00011155
   -8.23823824    0.00011238
   -8.15815816    0.00011323
   -8.07807808    0.00011408
   -7.99799800    0.00011495
   -7.91791792    0.00011582
   -7.83783784    0.00011670
   -7.75775776    0.00011760
   -7.67767768    0.00011851
   -7.59759760    0.00011942
   -7.51751752    0.00012035
   -7.43743744    0.00012129
   -7.35735736    0.00012224
   -7.27727728    0.00012320
   -7.19719720    0.00012417
   -7.11711712    0.00012515
   -7.03703704    0.00012615
   -6.95695696    0.00012716
   -6.87687688    0.00012818
   -6.79679680    0.00012921
   -6.71671672    0.00013025
   -6.63663664    0.00013131
   -6.55655656    0.00013238
   -6.47647648    0.00013347
   -6.39639640    0.00013457
   -6.31631632    0.00013568
   -6.23623624    0.00013681
   -6.15615616    0.00013795
   -6.07607608    0.00013910
   -5.99599600    0.00014027
   -5.91591592    0.00014146
   -5.83583584    0.00014266
   -5.75575576    0.00014388
   -5.67567568    0.00014511
   -5.59559560    0.00014636
   -5.51551552    0.00014763
   -5.43543544    0.00014891
   -5.35535536    0.00015021
   -5.27527528    0.00015153
   -5.19519520    0.00015286
   -5.11511512    0.00015422
   -5.03503504    0.00015559
   -4.95495495    0.00015698
   -4.87487487    0.00015839
   -4.79479479    0.00015982
   -4.71471471    0.00016127
   -4.63463463    0.00016274
   -4.55455455    0.00016424
   -4.47447447    0.00016575
   -4.39439439    0.00016728
   -4.31431431    0.00016884
   -4.23423423    0.00017042
   -4.15415415    0.00017202
   -4.07407407    0.00017365
   -3.99399399    0.00017530
   -3.91391391    0.00017697
   -3.83383383    0.00017867
   -3.75375375    0.00018039
   -3.67367367    0.00018214
   -3.59359359    0.00018392
   -3.51351351    0.00018572
   -3.43343343    0.00018756
   -3.35335335    0.00018942
   -3.27327327    0.00019130
   -3.19319319    0.00019322
   -3.11311311    0.00019517
   -3.03303303    0.00019715
   -2.95295295    0.00019916
   -2.87287287    0.00020120
   -2.79279279    0.00020328
   -2.71271271    0.00020539
   -2.63263263    0.00020753
   -2.55255255    0.00020971
   -2.47247247    0.00021193
   -2.39239239    0.00021418
   -2.31231231    0.00021647
   -2.23223223    0.00021880
   -2.15215215    0.00022117
   -2.07207207    0.00022358
   -1.99199199    0.00022603
   -1.91191191    0.00022852
   -1.83183183    0.00023105
   -1.75175175    0.00023363
   -1.67167167    0.00023626
   -1.59159159    0.00023893
   -1.51151151    0.00024165
   -1.43143143    0.00024442
   -1.35135135    0.00024724
   -1.27127127    0.00025012
   -1.19119119    0.00025304
   -1.11111111    0.00025602
   -1.03103103    0.00025906
   -0.95095095    0.00026215
   -0.87087087    0.00026530
   -0.79079079    0.00026851
   -0.71071071    0.00027179
   -0.63063063    0.00027512
   -0.55055055    0.00027853
   -0.47047047    0.00028200
   -0.39039039    0.00028554
   -0.31031031    0.00028914
   -0.23023023    0.00029282
   -0.15015015    0.00029657
   -0.07007007    0.00030038
    0.01001001    0.00030428
    0.09009009    0.00030831
    0.17017017    0.00031241
    0.25025025    0.00031660
    0.33033033    0.00032087
    0.41041041    0.00032522
    0.49049049    0.00032968
    0.57057057    0.00033423
    0.65065065    0.00033888
    0.73073073    0.00034363
    0.81081081    0.00034850
    0.89089089    0.00035347
    0.97097097    0.00035856
    1.05105105    0.00036377
    1.13113113    0.00036911
    1.21121121    0.00037457
    1.29129129    0.00038016
    1.37137137    0.00038590
    1.45145145    0.00039177
    1.53153153    0.00039779
    1.61161161    0.00040396
    1.69169169    0.00041028
    1.77177177    0.00041678
    1.85185185    0.00042344
    1.93193193    0.00043028
    2.01201201    0.00043730
    2.09209209    0.00044451
    2.17217217    0.00045191
    2.25225225    0.00045953
    2.33233233    0.00046736
    2.41241241    0.00047541
    2.49249249    0.00048370
    2.57257257    0.00049223
    2.65265265    0.00050101
    2.73273273    0.00051006
    2.81281281    0.00051939
    2.89289289    0.00052901
    2.97297297    0.00053894
    3.05305305    0.00054920
    3.13313313    0.00055979
    3.21321321    0.00057075
    3.29329329    0.00058208
    3.37337337    0.00059382
    3.45345345    0.00060599
    3.53353353    0.00061862
    3.61361361    0.00063175
    3.69369369    0.00064541
    3.77377377    0.00065965
    3.85385385    0.00067454
    3.93393393    0.00069014
    4.01401401    0.00070656
    4.09409409    0.00072392
    4.17417417    0.00074239
    4.25425425    0.00076225
    4.33433433    0.00078391
    4.41441441    0.00080808
    4.49449449    0.00083604
    4.57457457    0.00087046
    4.65465465    0.00091758
    4.73473473    0.00099350
    4.81481481    0.00112997
    4.89489489    0.00133673
    4.97497497    0.00142256
    5.05505506    0.00136710
    5.13513514    0.00135474
    5.21521522    0.00144291
    5.29529530    0.00142510
    5.37537538    0.00133613
    5.45545546    0.00136561
    5.53553554    0.00150564
    5.61561562    0.00162607
    5.69569570    0.00157887
    5.77577578    0.00160220
    5.85585586    0.00175770
    5.93593594    0.00187836
    6.01601602    0.00190992
    6.09609610    0.00195422
    6.17617618    0.00186738
    6.25625626    0.00187783
    6.33633634    0.00207197
    6.41641642    0.00248996
    6.49649650    0.00263501
    6.57657658    0.00254547
    6.65665666    0.00275300
    6.73673674    0.00272872
    6.81681682    0.00264436
    6.89689690    0.00287064
    6.97697698    0.00347819
    7.05705706    0.00406422
    7.13713714    0.00454009
    7.21721722    0.00433548
    7.29729730    0.00424970
    7.37737738    0.00467918
    7.45745746    0.00461815
    7.53753754    0.00498581
    7.61761762    0.00605077
    7.69769770    0.00793199
    7.77777778    0.00953909
    7.85785786    0.01061458
    7.93793794    0.01135055
    8.01801802    0.01210183
    8.09809810    0.01257140
    8.17817818    0.01389629
    8.25825826    0.01573983
    8.33833834    0.01441221
    8.41841842    0.01326018
    8.49849850    0.01478876
    8.57857858    0.01792096
    8.65865866    0.01853337
    8.73873874    0.01921950
    8.81881882    0.01932771
    8.89889890    0.02022785
    8.97897898    0.02603638
    9.05905906    0.03763548
    9.13913914    0.04908377
    9.21921922    0.06432264
    9.29929930    0.08714078
    9.37937938    0.11129961
    9.45945946    0.11989168
    9.53953954    0.13882576
    9.61961962    0.15091434
    9.69969970    0.13147016
    9.77977978    0.11839650
    9.85985986    0.13969735
    9.93993994    0.18495657
   10.02002002    0.24087093
   10.10010010    0.27944408
   10.18018018    0.31066202
   10.26026026    0.31567137
   10.34034034    0.26247818
   10.42042042    0.23292483
   10.50050050    0.23729128
   10.58058058    0.26793626
   10.66066066    0.25831199
   10.74074074    0.24818440
   10.82082082    0.24039272
   10.90090090    0.21850139
   10.98098098    0.24762426
   11.06106106    0.24757791
   11.14114114    0.22056955
   11.22122122    0.22078687
   11.30130130    0.22801250
   11.38138138    0.19035025
   11.46146146    0.17720593
   11.54154154    0.17755336
   11.62162162    0.19755235
   11.70170170    0.19001085
   11.78178178    0.14678390
   11.86186186    0.13030117
   11.94194194    0.13353297
   12.02202202    0.13352338
   12.10210210    0.10895905
   12.18218218    0.10114599
   12.26226226    0.12181770
   12.34234234    0.12293909
   12.42242242    0.08793141
   12.50250250    0.07405271
   12.58258258    0.07068929
   12.66266266    0.08278443
   12.74274274    0.07924760
   12.82282282    0.07944515
   12.90290290    0.09275133
   12.98298298    0.08555430
   13.06306306    0.07263196
   13.14314314    0.06638390
   13.22322322    0.05438962
   13.30330330    0.04386523
   13.38338338    0.03907647
   13.46346346    0.03784444
   13.54354354    0.03747223
   13.62362362    0.04068779
   13.70370370    0.04387877
   13.78378378    0.05322507
   13.86386386    0.07872558
   13.94394394    0.08943882
   14.02402402    0.07448057
   14.10410410    0.07229741
   14.18418418    0.08992457
   14.26426426    0.10479496
   14.34434434    0.09434778
   14.42442442    0.07664171
   14.50450450    0.07985646
   14.58458458    0.09194435
   14.66466466    0.12434895
   14.74474474    0.15280126
   14.82482482    0.14324566
   14.90490490    0.14203307
   14.98498498    0.14179050
   15.06506507    0.12469060
   15.14514515    0.14530259
   15.22522523    0.14502384
   15.30530531    0.11163907
   15.38538539    0.09317257
   15.46546547    0.09038650
   15.54554555    0.09236419
   15.62562563    0.09243941
   15.70570571    0.09685902
   15.78578579    0.10693254
   15.86586587    0.14764932
   15.94594595    0.19396568
   16.02602603    0.19348934
   16.10610611    0.17366580
   16.18618619    0.15558898
   16.26626627    0.11672082
   16.34634635    0.11778174
   16.42642643    0.12242406
   16.50650651    0.10867648
   16.58658659    0.09276358
   16.66666667    0.09022386
   16.74674675    0.09245677
   16.82682683    0.07894096
   16.90690691    0.08851707
   16.98698699    0.10398429
   17.06706707    0.08680475
   17.14714715    0.07343009
   17.22722723    0.07002704
   17.30730731    0.07837867
   17.38738739    0.09551297
   17.46746747    0.10012961
   17.54754755    0.07644569
   17.62762763    0.07566543
   17.70770771    0.09279107
   17.78778779    0.10327637
   17.86786787    0.09636974
   17.94794795    0.08905202
   18.02802803    0.07154143
   18.10810811    0.05884719
   18.18818819    0.06541509
   18.26826827    0.08660554
   18.34834835    0.10359605
   18.42842843    0.09827931
   18.50850851    0.08820206
   18.58858859    0.09844594
   18.66866867    0.12317192
   18.74874875    0.12375717
   18.82882883    0.07644047
   18.90890891    0.06034100
   18.98898899    0.06527690
   19.06906907    0.06856574
   19.14914915    0.08966532
   19.22922923    0.10110728
   19.30930931    0.08741083
   19.38938939    0.08377721
   19.46946947    0.09785209
   19.54954955    0.10170871
   19.62962963    0.11968776
   19.70970971    0.14886219
   19.78978979    0.13951265
   19.86986987    0.11779320
   19.94994995    0.11019638
   20.03003003    0.10207024
   20.11011011    0.09931233
   20.19019019    0.10541554
   20.27027027    0.12915126
   20.35035035    0.12792391
   20.43043043    0.12121622
   20.51051051    0.11545874
   20.59059059    0.10181776
   20.67067067    0.10326676
   20.75075075    0.09963387
   20.83083083    0.09596158
   20.91091091    0.07907940
   20.99099099    0.06219661
   21.07107107    0.06024656
   21.15115115    0.07190802
   21.23123123    0.07583282
   21.31131131    0.05760482
   21.39139139    0.04939635
   21.47147147    0.04559255
   21.55155155    0.04138029
   21.63163163    0.03266263
   21.71171171    0.02473422
   21.79179179    0.02148758
   21.87187187    0.02405882
   21.95195195    0.02660285
   22.03203203    0.02585662
   22.11211211    0.02243892
   22.19219219    0.02088465
   22.27227227    0.02064583
   22.35235235    0.01921296
   22.43243243    0.01842867
   22.51251251    0.02002062
   22.59259259    0.02294885
   22.67267267    0.02313546
   22.75275275    0.02358042
   22.83283283    0.02510891
   22.91291291    0.03114721
   22.99299299    0.03576252
   23.07307307    0.04057342
   23.15315315    0.04103863
   23.23323323    0.03218965
   23.31331331    0.02766654
   23.39339339    0.03235483
   23.47347347    0.04679812
   23.55355355    0.06804599
   23.63363363    0.06208042
