# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    8.49849850    0.00372340
    8.57857858    0.00444325
    8.65865866    0.00453238
    8.73873874    0.00379340
    8.81881882    0.00367079
    8.89889890    0.00354304
    8.97897898    0.00328057
    9.05905906    0.00337961
    9.13913914    0.00379842
    9.21921922    0.00472263
    9.29929930    0.00654811
    9.37937938    0.00772218
    9.45945946    0.00798967
    9.53953954    0.00777489
    9.61961962    0.00825227
    9.69969970    0.01026791
    9.77977978    0.01267210
    9.85985986    0.01868654
    9.93993994    0.02824661
   10.02002002    0.03148408
   10.10010010    0.04191917
   10.18018018    0.05554572
   10.26026026    0.04804338
   10.34034034    0.03947816
   10.42042042    0.04136463
   10.50050050    0.04188243
   10.58058058    0.04262627
   10.66066066    0.05092724
   10.74074074    0.05281977
   10.82082082    0.05881764
   10.90090090    0.06604027
   10.98098098    0.06489738
   11.06106106    0.07380106
   11.14114114    0.07725907
   11.22122122    0.07517394
   11.30130130    0.08402571
   11.38138138    0.10111925
   11.46146146    0.13438040
   11.54154154    0.18295995
   11.62162162    0.21141432
   11.70170170    0.22210759
   11.78178178    0.16842383
   11.86186186    0.14433921
   11.94194194    0.15975123
   12.02202202    0.16565589
   12.10210210    0.15579762
   12.18218218    0.13682260
   12.26226226    0.13123700
   12.34234234    0.12415755
   12.42242242    0.10114172
   12.50250250    0.08923343
   12.58258258    0.08430049
   12.66266266    0.08065167
   12.74274274    0.09162832
   12.82282282    0.09925886
   12.90290290    0.08454204
   12.98298298    0.06848027
   13.06306306    0.06744557
   13.14314314    0.06811275
   13.22322322    0.07014484
   13.30330330    0.07328998
   13.38338338    0.09061507
   13.46346346    0.08455613
   13.54354354    0.05511779
   13.62362362    0.04167294
   13.70370370    0.03944633
   13.78378378    0.03946556
   13.86386386    0.05138523
   13.94394394    0.07708424
   14.02402402    0.09754642
   14.10410410    0.08022790
   14.18418418    0.05091156
   14.26426426    0.03774011
   14.34434434    0.03886796
   14.42442442    0.04628726
   14.50450450    0.06857297
   14.58458458    0.08340987
   14.66466466    0.07249280
   14.74474474    0.07978647
   14.82482482    0.08533555
   14.90490490    0.07348857
   14.98498498    0.07038062
   15.06506507    0.06036291
   15.14514515    0.05831231
   15.22522523    0.06499297
   15.30530531    0.08181380
   15.38538539    0.10183497
   15.46546547    0.11785140
   15.54554555    0.10328653
   15.62562563    0.09905185
   15.70570571    0.09255365
   15.78578579    0.09079283
   15.86586587    0.10997572
   15.94594595    0.11215222
   16.02602603    0.08643692
   16.10610611    0.08047569
   16.18618619    0.08607779
   16.26626627    0.07190418
   16.34634635    0.05872522
   16.42642643    0.06248604
   16.50650651    0.07085232
   16.58658659    0.08050255
   16.66666667    0.09216198
   16.74674675    0.11132611
   16.82682683    0.11911904
   16.90690691    0.11856863
   16.98698699    0.10872809
   17.06706707    0.11349512
   17.14714715    0.10541327
   17.22722723    0.08984451
   17.30730731    0.06350794
   17.38738739    0.04992136
   17.46746747    0.05339816
   17.54754755    0.05197102
   17.62762763    0.04538327
   17.70770771    0.04707705
   17.78778779    0.05556593
   17.86786787    0.06820834
   17.94794795    0.08706523
   18.02802803    0.11869486
   18.10810811    0.11768383
   18.18818819    0.12113497
   18.26826827    0.12129981
   18.34834835    0.08633698
   18.42842843    0.06618215
   18.50850851    0.06102357
   18.58858859    0.05895197
   18.66866867    0.05934689
   18.74874875    0.07372656
   18.82882883    0.10168851
   18.90890891    0.10465387
   18.98898899    0.08007462
   19.06906907    0.06915928
   19.14914915    0.05218335
   19.22922923    0.05079991
   19.30930931    0.07222935
   19.38938939    0.08897928
   19.46946947    0.06807287
   19.54954955    0.06695007
   19.62962963    0.08286508
   19.70970971    0.08696450
   19.78978979    0.07123173
   19.86986987    0.06554699
   19.94994995    0.07011394
   20.03003003    0.07460581
   20.11011011    0.07697917
   20.19019019    0.08794960
   20.27027027    0.11033540
   20.35035035    0.12553222
   20.43043043    0.13062908
   20.51051051    0.11766605
   20.59059059    0.08669028
   20.67067067    0.07381172
   20.75075075    0.07260445
   20.83083083    0.08648064
   20.91091091    0.12085120
   20.99099099    0.14061136
   21.07107107    0.14243142
   21.15115115    0.13438703
   21.23123123    0.13456833
   21.31131131    0.11870257
   21.39139139    0.10608615
   21.47147147    0.09672480
   21.55155155    0.09595127
   21.63163163    0.09979236
   21.71171171    0.09019570
   21.79179179    0.08367397
   21.87187187    0.08981805
   21.95195195    0.10186734
   22.03203203    0.10417574
   22.11211211    0.08056347
   22.19219219    0.06529564
   22.27227227    0.05967948
   22.35235235    0.05452756
   22.43243243    0.04559463
   22.51251251    0.04129240
   22.59259259    0.03139111
   22.67267267    0.02369256
   22.75275275    0.02118484
   22.83283283    0.02226160
   22.91291291    0.02660652
   22.99299299    0.02947185
   23.07307307    0.02776996
   23.15315315    0.03148801
   23.23323323    0.03620644
   23.31331331    0.04189427
   23.39339339    0.04360595
   23.47347347    0.03580711
   23.55355355    0.02959657
   23.63363363    0.03028138
   23.71371371    0.03480424
   23.79379379    0.04452915
   23.87387387    0.04515686
   23.95395395    0.03909904
   24.03403403    0.03591507
   24.11411411    0.02659729
   24.19419419    0.02494438
   24.27427427    0.02984273
   24.35435435    0.03221037
   24.43443443    0.02773326
   24.51451451    0.02558704
   24.59459459    0.02433015
   24.67467467    0.01899076
   24.75475475    0.01762240
   24.83483483    0.02111997
   24.91491491    0.03114893
   24.99499499    0.04295942
   25.07507508    0.04270974
   25.15515516    0.03356991
   25.23523524    0.03567713
   25.31531532    0.04758321
   25.39539540    0.04845612
   25.47547548    0.04601260
   25.55555556    0.03696600
   25.63563564    0.04073250
   25.71571572    0.05058877
   25.79579580    0.05933117
   25.87587588    0.06924657
   25.95595596    0.08550953
   26.03603604    0.08416431
   26.11611612    0.06479332
   26.19619620    0.06861830
   26.27627628    0.07241938
   26.35635636    0.07198921
   26.43643644    0.07352999
   26.51651652    0.08209370
   26.59659660    0.11370610
   26.67667668    0.16707087
   26.75675676    0.20827565
   26.83683684    0.25945410
   26.91691692    0.24050155
   26.99699700    0.18429717
   27.07707708    0.17117505
   27.15715716    0.16577802
   27.23723724    0.14666536
   27.31731732    0.14202151
   27.39739740    0.15450757
   27.47747748    0.18227596
   27.55755756    0.21613834
   27.63763764    0.23303129
   27.71771772    0.21128402
   27.79779780    0.18214490
   27.87787788    0.16927853
   27.95795796    0.19487056
   28.03803804    0.21143589
   28.11811812    0.21446360
   28.19819820    0.22420959
   28.27827828    0.19243452
   28.35835836    0.15067457
   28.43843844    0.13457617
   28.51851852    0.12576462
   28.59859860    0.12900797
   28.67867868    0.14931151
   28.75875876    0.15001090
   28.83883884    0.15719432
   28.91891892    0.15032652
   28.99899900    0.11881624
   29.07907908    0.12795412
   29.15915916    0.13426571
   29.23923924    0.13019563
   29.31931932    0.12253941
   29.39939940    0.12898148
   29.47947948    0.14544797
   29.55955956    0.13279256
   29.63963964    0.10976617
   29.71971972    0.09474899
   29.79979980    0.10183736
   29.87987988    0.09617916
   29.95995996    0.06998624
   30.04004004    0.06199914
   30.12012012    0.07435507
   30.20020020    0.08187333
   30.28028028    0.08413719
   30.36036036    0.09589216
   30.44044044    0.12131241
   30.52052052    0.12033147
   30.60060060    0.10346827
   30.68068068    0.08098231
   30.76076076    0.06946865
   30.84084084    0.05013098
   30.92092092    0.03750976
   31.00100100    0.02646111
   31.08108108    0.02040177
   31.16116116    0.01990547
   31.24124124    0.02226784
   31.32132132    0.01902098
   31.40140140    0.01515831
