# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    8.49849850    0.02712017
    8.57857858    0.02309983
    8.65865866    0.02818668
    8.73873874    0.04440285
    8.81881882    0.04244636
    8.89889890    0.02623948
    8.97897898    0.02138662
    9.05905906    0.02289464
    9.13913914    0.02497501
    9.21921922    0.03165610
    9.29929930    0.03467579
    9.37937938    0.03273423
    9.45945946    0.02706959
    9.53953954    0.02659902
    9.61961962    0.02431997
    9.69969970    0.02344817
    9.77977978    0.02791265
    9.85985986    0.03898355
    9.93993994    0.05112823
   10.02002002    0.07331007
   10.10010010    0.09472259
   10.18018018    0.11949303
   10.26026026    0.14200281
   10.34034034    0.17959481
   10.42042042    0.21394777
   10.50050050    0.23096258
   10.58058058    0.19621392
   10.66066066    0.13174098
   10.74074074    0.08633137
   10.82082082    0.06210944
   10.90090090    0.05657588
   10.98098098    0.05518419
   11.06106106    0.04360020
   11.14114114    0.03888170
   11.22122122    0.03326858
   11.30130130    0.03413801
   11.38138138    0.04830136
   11.46146146    0.06478064
   11.54154154    0.06042181
   11.62162162    0.05240192
   11.70170170    0.05368471
   11.78178178    0.06998345
   11.86186186    0.09962809
   11.94194194    0.13617379
   12.02202202    0.11749531
   12.10210210    0.08970305
   12.18218218    0.08939049
   12.26226226    0.08392072
   12.34234234    0.06013446
   12.42242242    0.05032693
   12.50250250    0.05031181
   12.58258258    0.05562484
   12.66266266    0.06361532
   12.74274274    0.04912395
   12.82282282    0.04754594
   12.90290290    0.04730055
   12.98298298    0.04103065
   13.06306306    0.04354080
   13.14314314    0.03865169
   13.22322322    0.03227058
   13.30330330    0.03501891
   13.38338338    0.04444018
   13.46346346    0.03900646
   13.54354354    0.02977083
   13.62362362    0.02770686
   13.70370370    0.03380194
   13.78378378    0.04858499
   13.86386386    0.06007564
   13.94394394    0.06642146
   14.02402402    0.07761259
   14.10410410    0.06520262
   14.18418418    0.06980202
   14.26426426    0.08804787
   14.34434434    0.07234375
   14.42442442    0.07380918
   14.50450450    0.11210619
   14.58458458    0.17002636
   14.66466466    0.17314231
   14.74474474    0.14561162
   14.82482482    0.09957154
   14.90490490    0.07939298
   14.98498498    0.08804699
   15.06506507    0.11495648
   15.14514515    0.10419933
   15.22522523    0.08364680
   15.30530531    0.06939058
   15.38538539    0.07902991
   15.46546547    0.09165714
   15.54554555    0.08575345
   15.62562563    0.07847556
   15.70570571    0.08920558
   15.78578579    0.07945347
   15.86586587    0.06564671
   15.94594595    0.06354500
   16.02602603    0.06998293
   16.10610611    0.08026691
   16.18618619    0.08550565
   16.26626627    0.08025602
   16.34634635    0.07586222
   16.42642643    0.07589118
   16.50650651    0.06951692
   16.58658659    0.06273399
   16.66666667    0.06350412
   16.74674675    0.05167949
   16.82682683    0.03870934
   16.90690691    0.04294063
   16.98698699    0.05804143
   17.06706707    0.05977346
   17.14714715    0.04243065
   17.22722723    0.02851879
   17.30730731    0.02743798
