-20 0.000680624
-19 0.000822682
-18 0.000990269
-17 0.0011945
-16 0.00144953
-15 0.0017813
-14 0.00223358
-13 0.00281219
-12 0.0035169
-11 0.00443436
-10 0.00559857
-9 0.00704022
-8 0.00897374
-7 0.0117648
-6 0.0156179
-5 0.0218156
-4 0.0311736
-3 0.0464189
-2 0.0739178
-1 0.135477
0 0.270793
1 0.118485
2 0.0717772
3 0.0447087
4 0.029598
5 0.0208302
6 0.0150822
7 0.011267
8 0.00870379
9 0.00684567
10 0.00541033
11 0.00427879
12 0.00338837
13 0.0027199
14 0.00219652
15 0.0017854
16 0.00145494
17 0.00118878
18 0.000973048
19 0.000798726
20 0.000657184
