-20 0.000318581
-19 0.000399276
-18 0.000488762
-17 0.000589557
-16 0.000713509
-15 0.000884361
-14 0.00113296
-13 0.00148094
-12 0.00192694
-11 0.00246084
-10 0.00309495
-9 0.00389617
-8 0.00492965
-7 0.00645909
-6 0.00864909
-5 0.0114075
-4 0.0155762
-3 0.0243922
-2 0.0492805
-1 0.129989
0 0.46022
1 0.13175
2 0.0502376
3 0.0249989
4 0.0158729
5 0.0115992
6 0.00876783
7 0.00650575
8 0.0049325
9 0.00388429
10 0.00306344
11 0.0024443
12 0.00193049
13 0.00149091
14 0.00114697
15 0.000892519
16 0.000713049
17 0.000587775
18 0.000489722
19 0.000402219
20 0.000323264
