-20 0.000657184
-19 0.000798726
-18 0.000973048
-17 0.00118878
-16 0.00145494
-15 0.0017854
-14 0.00219652
-13 0.0027199
-12 0.00338837
-11 0.00427879
-10 0.00541033
-9 0.00684567
-8 0.00870379
-7 0.011267
-6 0.0150822
-5 0.0208302
-4 0.029598
-3 0.0447087
-2 0.0717772
-1 0.118485
0 0.270793
1 0.135477
2 0.0739178
3 0.0464189
4 0.0311736
5 0.0218156
6 0.0156179
7 0.0117648
8 0.00897374
9 0.00704022
10 0.00559857
11 0.00443436
12 0.0035169
13 0.00281219
14 0.00223358
15 0.0017813
16 0.00144953
17 0.0011945
18 0.000990269
19 0.000822682
20 0.000680624
